timestep,bus,fault_prob,congestion_prob,voltage_prob,risk_type,recommended_action,explanation,max_risk
1.0,20.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,21.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,22.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,23.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,24.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,25.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,26.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,27.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,28.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,29.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,30.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,31.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
1.0,32.0,0.5304132103919983,0.5431122183799744,0.4975292086601257,congestion,network_reconfiguration_or_reroute,Congestion probability is highest; reroute power flow or reconfigure feeder switches.,0.5431122183799744
2.0,0.0,0.4477141201496124,0.4216111302375793,0.4957507848739624,normal,monitor,All predicted risks are below the operator action threshold.,0.4957507848739624
2.0,1.0,0.4477141201496124,0.4216111302375793,0.4957507848739624,normal,monitor,All predicted risks are below the operator action threshold.,0.4957507848739624
2.0,2.0,0.4477141201496124,0.4216111302375793,0.4957507848739624,normal,monitor,All predicted risks are below the operator action threshold.,0.4957507848739624
2.0,3.0,0.4477141201496124,0.4216111302375793,0.4957507848739624,normal,monitor,All predicted risks are below the operator action threshold.,0.4957507848739624
2.0,4.0,0.4477141201496124,0.4216111302375793,0.4957507848739624,normal,monitor,All predicted risks are below the operator action threshold.,0.4957507848739624
